0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
139,0.13493,0.03344,0.15332,0.14102,0.15744,0.15127,0.071685,0.1488,0.15704,0.16241,0.35312,0.087186,0.34391,0.31773,0.28725,0.2854,0.070053,0.25655,0.24886,0.25377,0.68912,0.40734,0.69015,0.28933,0.17463,0.13797,0.068445,0.12672,0.090699
140,0.19839,0.049596,0.20095,0.20863,0.19414,0.19215,0.073181,0.1986,0.21069,0.19028,0.22143,0.10335,0.24823,0.16447,0.13133,0.17543,0.09671,0.19201,0.12345,0.12674,0.65919,0.51763,0.5931,0.36444,0.15205,0.24003,0.063098,0.14604,0.08352
141,0.14971,0.051273,0.18179,0.18263,0.14351,0.16728,0.043073,0.20042,0.2127,0.17165,0.13396,0.097473,0.10458,0.10813,0.11552,0.13565,0.075685,0.075379,0.084069,0.13361,0.16115,0.49211,0.353,0.35873,0.13125,0.16795,0.19014,0.12784,0.10646
142,0.20781,0.11064,0.23853,0.23673,0.23839,0.20569,0.10231,0.22269,0.2407,0.23329,0.16504,0.085185,0.12857,0.1076,0.11811,0.10727,0.058815,0.10751,0.076202,0.073497,0.48115,0.41574,0.4281,0.32843,0.11529,0.15547,0.11484,0.086054,0.11405
143,0.19651,0.10143,0.2132,0.22486,0.20654,0.22121,0.066635,0.22489,0.23896,0.24923,0.22601,0.17244,0.16911,0.17046,0.17655,0.17441,0.098361,0.1326,0.085752,0.14217,0.31061,0.46318,0.39321,0.37146,0.127,0.15297,0.1047,0.096363,0.038208
145,0.21944,0.057698,0.22723,0.23963,0.22784,0.21979,0.05492,0.23317,0.23774,0.24442,0.10889,0.089552,0.1017,0.07079,0.072683,0.058552,0.087276,0.060383,0.040716,0.042227,0.53173,0.3789,0.5058,0.32461,0.068862,0.16856,0.18874,0.067067,0.13859
146,0.20171,0.058804,0.26017,0.25073,0.18426,0.21586,0.055828,0.25483,0.25997,0.20472,0.076477,0.16372,0.098962,0.052045,0.054448,0.058991,0.17913,0.067813,0.044423,0.043351,0.59797,0.46983,0.6438,0.37642,0.16996,0.24302,0.098113,0.17627,0.077923
147,0.2111,0.089475,0.22363,0.20811,0.21903,0.20592,0.074481,0.20634,0.20941,0.2121,0.10187,0.094873,0.12615,0.084488,0.08825,0.11418,0.058558,0.11448,0.098061,0.084449,0.51404,0.51942,0.45577,0.34207,0.10644,0.16535,0.16366,0.097332,0.09287
148,0.11923,0.10522,0.1076,0.15797,0.15461,0.1386,0.10858,0.11899,0.16778,0.1514,0.23465,0.18126,0.23973,0.21759,0.20883,0.1978,0.071563,0.1698,0.14313,0.14948,0.59752,0.49229,0.50942,0.34075,0.12708,0.093469,0.0544,0.075443,0.079552
149,0.11373,0.028006,0.14247,0.13108,0.14101,0.12033,0.030539,0.13412,0.13515,0.13656,0.065581,0.054817,0.066442,0.069354,0.071398,0.03184,0.044002,0.025285,0.01864,0.028845,0.49242,0.43911,0.48988,0.30088,0.031115,0.079234,0.11229,0.039383,0.086325
150,0.078719,0.069736,0.13114,0.11564,0.095502,0.096413,0.080305,0.13501,0.14427,0.10878,0.20171,0.22136,0.14315,0.23965,0.24473,0.17981,0.18294,0.13113,0.17565,0.20828,0.562,0.55208,0.53637,0.38484,0.16472,0.15159,0.04613,0.16097,0.070276
151,0.1331,0.06971,0.14244,0.17054,0.14059,0.14667,0.081633,0.14853,0.1728,0.16794,0.46264,0.13419,0.41153,0.4177,0.41202,0.39648,0.11599,0.31939,0.35666,0.34405,0.49398,0.38593,0.45996,0.43989,0.10631,0.085982,0.13394,0.09473,0.086302
152,0.18561,0.13782,0.17015,0.18082,0.22891,0.18611,0.13052,0.15481,0.17909,0.23092,0.24535,0.059861,0.23561,0.19344,0.17683,0.18043,0.05514,0.1462,0.15713,0.16697,0.55689,0.48472,0.46222,0.32501,0.087097,0.11367,0.16474,0.08037,0.082065
153,0.10763,0.046982,0.127,0.13896,0.12276,0.12368,0.047487,0.13248,0.15409,0.12067,0.085396,0.20535,0.065202,0.076682,0.12351,0.069116,0.13872,0.059973,0.046708,0.068064,0.32166,0.43214,0.3238,0.27912,0.10664,0.14162,0.27842,0.092164,0.082056
154,0.15342,0.11567,0.15818,0.16944,0.1797,0.17585,0.11465,0.1629,0.19558,0.20168,0.092999,0.13006,0.11121,0.072179,0.062681,0.090338,0.082862,0.089011,0.050758,0.074408,0.37897,0.45113,0.31009,0.33415,0.15444,0.17432,0.095348,0.13556,0.086597
155,0.16516,0.07192,0.17442,0.1869,0.19963,0.1803,0.086584,0.20155,0.22506,0.23127,0.38433,0.13524,0.28753,0.32323,0.3563,0.30697,0.074306,0.23897,0.26847,0.2775,0.56862,0.41721,0.62662,0.32183,0.11943,0.14605,0.10016,0.080299,0.11633
156,0.15897,0.060954,0.18975,0.19954,0.20625,0.1799,0.062521,0.18303,0.21593,0.22533,0.12021,0.097292,0.10166,0.082,0.075402,0.071481,0.093836,0.049005,0.048597,0.056548,0.41576,0.4984,0.49701,0.32862,0.082727,0.11143,0.18233,0.063764,0.11708
157,0.096582,0.054126,0.11422,0.1239,0.1446,0.1204,0.053982,0.11881,0.14947,0.14552,0.23266,0.12804,0.17373,0.24998,0.24352,0.29773,0.14257,0.23089,0.27466,0.30923,0.64063,0.4235,0.63,0.29394,0.11612,0.094355,0.22882,0.091845,0.041308
158,0.1608,0.1003,0.18414,0.21388,0.18216,0.18303,0.070826,0.17371,0.26035,0.19638,0.18308,0.12788,0.151,0.14025,0.15423,0.13501,0.1099,0.08587,0.067766,0.087487,0.68709,0.44233,0.55827,0.31918,0.12469,0.1144,0.14492,0.11253,0.058129
159,0.17413,0.14546,0.19008,0.19633,0.22561,0.18519,0.11121,0.19957,0.25659,0.21101,0.41383,0.19425,0.31413,0.34255,0.41654,0.28174,0.11635,0.22508,0.20414,0.22744,0.50028,0.53349,0.46017,0.34717,0.17104,0.097971,0.13765,0.13741,0.020401
160,0.13049,0.045546,0.19301,0.17945,0.12125,0.1394,0.051852,0.1874,0.19155,0.12812,0.27054,0.057706,0.24137,0.21996,0.20121,0.19307,0.099747,0.18991,0.15859,0.14657,0.52638,0.38339,0.52248,0.31173,0.13228,0.21196,0.058027,0.12501,0.067057
162,0.10815,0.080884,0.12473,0.14334,0.15887,0.11651,0.07404,0.10963,0.13836,0.15415,0.12772,0.13049,0.086031,0.089112,0.11579,0.081697,0.10069,0.064275,0.041851,0.065872,0.58044,0.43507,0.50784,0.32285,0.13134,0.096179,0.050463,0.1034,0.06102
163,0.12569,0.044152,0.13287,0.13769,0.13639,0.13407,0.056305,0.13788,0.15324,0.15817,0.35849,0.11765,0.33529,0.30378,0.29405,0.30062,0.067524,0.27499,0.2686,0.25456,0.59835,0.48588,0.50147,0.32299,0.12553,0.1012,0.081721,0.10111,0.085126
164,0.07068,0.028297,0.10614,0.091807,0.093667,0.084402,0.034462,0.10431,0.09884,0.10896,0.347,0.1185,0.3092,0.32202,0.33261,0.3058,0.067427,0.25801,0.25595,0.26247,0.65283,0.52552,0.57173,0.33186,0.15412,0.14922,0.06483,0.14581,0.053745
165,0.1064,0.064596,0.10848,0.12372,0.11663,0.11993,0.065323,0.10236,0.14799,0.12629,0.10613,0.076916,0.092444,0.088442,0.096283,0.07762,0.07336,0.086946,0.074491,0.086285,0.67769,0.4117,0.66665,0.33643,0.20141,0.11056,0.086249,0.16901,0.029436
166,0.088638,0.12293,0.10309,0.12966,0.10218,0.11084,0.11537,0.087659,0.13607,0.11283,0.23444,0.11892,0.21812,0.21885,0.22022,0.24494,0.090457,0.16781,0.17968,0.21944,0.69315,0.53408,0.69315,0.38739,0.14893,0.075559,0.09143,0.10775,0.023791
167,0.083809,0.065401,0.090435,0.12595,0.11908,0.10276,0.059865,0.10656,0.13466,0.12445,0.12668,0.1365,0.097327,0.11385,0.096664,0.13644,0.11977,0.099493,0.12012,0.16435,0.65227,0.51233,0.57365,0.32848,0.16106,0.096934,0.068445,0.12472,0.017879
168,0.17316,0.048339,0.17743,0.1814,0.17506,0.16578,0.062484,0.16676,0.18835,0.17907,0.54604,0.16113,0.45123,0.48757,0.52182,0.45971,0.12332,0.36361,0.40663,0.42957,0.4177,0.42067,0.33717,0.29607,0.056349,0.13403,0.20814,0.052007,0.11032
171,0.27019,0.056683,0.35706,0.32431,0.26278,0.28127,0.072759,0.35133,0.33354,0.26381,0.29449,0.10959,0.23273,0.21984,0.24244,0.19687,0.10184,0.20524,0.13893,0.15522,0.5603,0.47246,0.46859,0.31759,0.084379,0.35981,0.10946,0.094111,0.12105
172,0.11741,0.053659,0.12219,0.14302,0.14816,0.12333,0.067136,0.11639,0.13679,0.14652,0.35567,0.082697,0.30946,0.30219,0.32997,0.31155,0.085688,0.25918,0.2742,0.28041,0.63043,0.43474,0.52352,0.31545,0.12404,0.11487,0.072578,0.096413,0.051849
173,0.20104,0.050949,0.2228,0.23067,0.2227,0.21926,0.070903,0.22266,0.2313,0.22579,0.16255,0.18871,0.1429,0.1699,0.15607,0.13497,0.14999,0.12281,0.12105,0.13564,0.52348,0.50722,0.4785,0.32243,0.073191,0.16425,0.077637,0.061366,0.070159
174,0.15853,0.12515,0.20306,0.17666,0.14855,0.16523,0.090314,0.18258,0.22166,0.16867,0.21431,0.1021,0.1565,0.14194,0.17084,0.16653,0.12571,0.12117,0.090261,0.12194,0.67803,0.48231,0.61636,0.40397,0.18542,0.19967,0.066219,0.18669,0
175,0.12453,0.04056,0.14119,0.15024,0.10324,0.13682,0.078612,0.14144,0.15474,0.14708,0.26435,0.066423,0.20992,0.18771,0.19006,0.20587,0.06731,0.16113,0.1526,0.15966,0.63099,0.47009,0.51747,0.32218,0.083184,0.10351,0.15048,0.067661,0.12701
176,0.14761,0.11387,0.16603,0.17734,0.17049,0.18882,0.14568,0.13995,0.21672,0.2068,0.23386,0.19438,0.21336,0.17382,0.18666,0.19068,0.17933,0.13344,0.099693,0.14968,0.69315,0.54081,0.58737,0.35191,0.15855,0.063479,0.057628,0.14718,0.017172
177,0.12791,0.039346,0.16808,0.16692,0.13098,0.13671,0.047316,0.17289,0.17364,0.12849,0.14501,0.22674,0.094706,0.16336,0.20505,0.16837,0.23037,0.13723,0.17284,0.23173,0.67624,0.54335,0.65835,0.34727,0.13765,0.15921,0.15823,0.1093,0.11148
178,0.11846,0.056001,0.13457,0.13242,0.14103,0.12978,0.052939,0.12941,0.14863,0.16036,0.22231,0.07228,0.19752,0.18171,0.17638,0.12889,0.04863,0.1166,0.11246,0.094165,0.59702,0.44941,0.51511,0.31748,0.076339,0.097096,0.11249,0.048861,0.035808
179,0.12223,0.07415,0.14237,0.158,0.15463,0.13848,0.096984,0.13771,0.19202,0.17175,0.11246,0.15665,0.096031,0.10867,0.12037,0.10843,0.15943,0.066264,0.062642,0.10646,0.68617,0.49572,0.62371,0.38533,0.1356,0.11773,0.079648,0.093068,0.068586
180,0.15893,0.071827,0.1668,0.1793,0.17644,0.16385,0.083265,0.16344,0.18113,0.18731,0.14791,0.081434,0.1464,0.11305,0.14068,0.10468,0.061122,0.077504,0.065724,0.065305,0.63735,0.50595,0.52335,0.44375,0.10363,0.133,0.084433,0.088982,0.1041
181,0.18154,0.086835,0.18424,0.20842,0.21796,0.21512,0.082021,0.2065,0.22454,0.20761,0.18727,0.1327,0.15207,0.13364,0.12983,0.15727,0.10435,0.14046,0.12514,0.13063,0.69091,0.54863,0.68295,0.43442,0.089902,0.16143,0.10953,0.075974,0.14931
182,0.16989,0.091217,0.15494,0.16311,0.18426,0.16892,0.077036,0.1648,0.18219,0.18394,0.13954,0.19811,0.094184,0.18862,0.17997,0.11531,0.14397,0.073829,0.089358,0.12529,0.68913,0.5702,0.68233,0.4087,0.15628,0.1776,0.20751,0.12531,0.065126
184,0.11788,0.035285,0.13311,0.15056,0.14135,0.14433,0.053258,0.13847,0.16989,0.15379,0.26624,0.28822,0.16599,0.28098,0.34887,0.27869,0.27107,0.18289,0.26774,0.34274,0.65327,0.49869,0.63784,0.30392,0.15373,0.11535,0.15884,0.12768,0.08617
185,0.13174,0.1261,0.14146,0.14525,0.18246,0.12918,0.13069,0.13763,0.16544,0.17919,0.14545,0.097177,0.098666,0.1217,0.1323,0.11131,0.087944,0.072322,0.090317,0.14192,0.53605,0.51852,0.48421,0.33223,0.08164,0.089856,0.056004,0.064555,0.080539
186,0.14202,0.049994,0.16757,0.16278,0.15074,0.15529,0.060994,0.14912,0.1668,0.14991,0.11438,0.13899,0.14734,0.089717,0.063281,0.08374,0.11811,0.10641,0.069802,0.07866,0.64856,0.49987,0.47121,0.29781,0.15101,0.1699,0.15612,0.15514,0.089775
