0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
139,0.0027875,0.00025939,0.00014563,0.0016973,0.011081,0.0013155,0.00077962,4.3482e-05,1.6751e-05,0.00010838,3.1986e-16,9.967e-16,6.2461e-13,1.5786e-14,3.0502e-15,1.9814e-11,1.6751e-05,1.7998e-16,1.9639e-38,2.3925e-19,5.0008e-44,4.8596e-35,9.7685e-30,4.1565e-31,0.091253,3.0502e-15,3.045e-70,0.011081,1
140,0.0034465,0.021697,0.0012214,0.01129,0.00012129,0.0056219,0.0034465,0.0002225,0.048407,0.0399,2.0311e-09,0.083937,8.8062e-06,0.00070607,0.0012214,0.00040026,1.4582e-06,0.00070607,3.038e-06,1.2434e-05,7.668e-09,2.7702e-08,5.7013e-15,0.021697,0.099855,4.9993e-17,1.2117e-91,0.94597,1
141,4.1179e-08,0.053245,2.7556e-09,2.7556e-09,1.9392e-08,1.323e-08,1.9571e-06,6.4204e-11,4.1031e-09,2.7155e-06,0.074019,0.0017179,0.086759,0.30272,0.012185,0.34067,0.00050432,5.0777e-07,1.3752e-19,7.012e-17,2.073e-27,6.0156e-16,6.8984e-59,3.5499e-10,0.0042676,8.9065e-23,7.8084e-35,5.7871e-05,0.93945
142,4.6799e-19,0.08502,1.7472e-13,4.3383e-17,6.4227e-18,5.6373e-15,0.0024492,1.5736e-10,2.7975e-16,1.5108e-16,5.9384e-26,9.0265e-08,4.1481e-10,2.7975e-16,2.5521e-23,1.8077e-14,5.6782e-14,4.3383e-17,1.9081e-29,2.5521e-23,6.8294e-07,0.0031776,2.1619e-06,0.0136,0.00046083,4.675e-22,1.0349e-108,0.10157,1.8848e-05
143,4.5528e-05,6.8954e-05,1.2474e-05,6.8954e-05,0.00010358,1.9364e-05,0.12424,0.0010014,0.00010358,2.9814e-05,6.4026e-18,2.7513e-07,2.3125e-19,7.289e-16,7.0889e-17,4.1834e-20,7.9697e-06,8.1308e-23,7.289e-16,5.3705e-19,0.0052906,0.099935,4.5613e-07,0.0027864,0.92872,1.116e-09,7.3869e-61,0.59254,0.22706
145,1.7218e-06,7.3395e-06,4.0203e-05,0.0014352,2.0668e-05,2.0668e-05,0.0051546,7.3395e-06,0.00062785,0.0014352,0.066821,0.11337,0.15729,0.030798,0.05547,0.0014352,7.279e-12,2.8897e-05,3.7153e-10,5.7592e-09,1.2109e-11,8.7664e-23,5.2033e-25,4.4695e-20,0.13388,5.7592e-09,8.784e-135,0.6442,1.158e-20
146,2.5803e-05,0.3467,9.9875e-09,1.9764e-07,3.036e-06,2.9655e-07,0.0066307,9.9875e-09,2.9655e-07,0.00033507,6.3867e-09,1.5538e-08,2.0871e-06,5.0526e-05,1.8298e-05,4.1148e-22,1.193e-11,1.7137e-21,1.0619e-23,3.6859e-29,4.8897e-13,2.5316e-45,4.6573e-23,2.4084e-25,5.1081e-26,9.0815e-54,1.0357e-138,5.0992e-34,0.16677
147,4.9177e-06,1.2874e-30,1.8799e-05,0.0024728,0.0080676,2.4469e-06,5.6554e-22,1.6737e-08,2.5986e-05,0.00088397,4.4808e-24,7.6568e-12,3.0329e-29,2.8073e-17,2.4846e-18,2.5518e-25,1.0339e-12,1.0304e-40,1.2323e-25,1.4321e-28,9.0007e-61,5.665e-08,8.0268e-45,1.2906e-09,0.00051416,1.6487e-16,4.2307e-152,1.0792e-24,9.0618e-05
148,0.00079437,0.024432,0.00079437,2.9253e-05,0.00011746,0.0025301,0.0056761,0.0014342,0.00042991,0.070312,1.7401e-16,2.3889e-23,7.6448e-34,6.9778e-08,1.7401e-16,1.7836e-08,0.00016388,6.3688e-16,1.8717e-19,2.1513e-20,2.0368e-05,2.3889e-23,9.7041e-06,0.00011746,0.00042991,6.979e-09,9.4235e-89,8.3702e-05,0.7361
149,1.1597e-14,1.5726e-12,9.9843e-11,1.4753e-07,2.1613e-18,1.4194e-13,2.0487e-10,2.0487e-10,8.0308e-08,6.2277e-14,7.3953e-12,3.2514e-09,8.7595e-09,8.7203e-23,1.0815e-11,0.12171,4.1574e-10,3.2514e-09,1.0606e-12,6.9413e-11,5.6994e-21,2.6805e-07,2.6805e-07,1.09e-07,3.6589e-25,9.5913e-30,6.8148e-293,1.5726e-12,0.12171
