0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
139,3.1865e-33,0.013729,6.0605e-34,1.3928e-33,9.7685e-30,1.132e-34,0.020789,6.0605e-34,1.132e-34,1.8666e-31,1.5713e-91,1.5523e-08,1.1727e-81,8.6503e-83,3.045e-70,5.9533e-74,0.00034386,4.0246e-66,4.0246e-66,4.125e-65,9.5732e-199,2.4379e-101,9.5732e-199,1.3085e-63,4.567e-28,1.9265e-44,5.129e-21,2.1267e-29,1.6962e-25
140,2.1452e-46,0.058441,5.3377e-50,1.5322e-49,8.8169e-44,1.2093e-44,0.058441,9.9053e-48,1.5322e-49,2.0485e-40,3.2733e-44,7.7111e-11,1.5322e-49,8.9938e-31,2.9876e-21,2.443e-33,2.012e-10,5.5816e-38,2.7483e-27,9.1456e-23,1.4658e-159,7.6189e-136,1.1286e-146,8.9294e-66,5.1484e-24,1.6204e-69,1.1644e-20,5.2852e-29,7.5172e-22
141,6.3234e-44,6.0855e-09,3.0602e-56,2.8877e-46,7.2074e-36,2.9065e-48,5.9654e-08,1.119e-56,4.4935e-49,8.5589e-40,3.5499e-10,2.8938e-15,9.6769e-06,1.9571e-06,1.2373e-07,1.0906e-11,4.2142e-13,2.7155e-06,1.0047e-06,2.7556e-09,3.6757e-40,8.1643e-153,4.2169e-78,7.3016e-84,7.8925e-19,3.8554e-61,2.2029e-90,6.4758e-26,7.8084e-35
142,2.4935e-38,1.2744e-11,2.8613e-50,9.2228e-45,9.6312e-39,1.4149e-39,4.1481e-10,2.4946e-49,6.1784e-48,1.4149e-39,2.7192e-26,0.048346,4.6799e-19,8.1167e-17,1.2248e-19,3.1239e-15,0.0041015,2.3069e-17,2.1287e-11,1.5736e-10,2.0769e-109,1.5378e-96,6.2125e-94,4.1947e-57,9.9861e-14,3.701e-39,5.3209e-23,1.708e-09,6.6174e-31
143,1.469e-26,0.51836,3.954e-30,9.1739e-29,1.2405e-21,1.9767e-27,0.44829,1.3637e-30,3.954e-30,8.1308e-23,4.1834e-20,0.00022803,2.3125e-19,6.9602e-15,7.289e-16,3.0066e-14,0.0097204,2.538e-13,9.7935e-11,1.0098e-12,2.0666e-35,2.6721e-68,7.2703e-44,6.5053e-35,0.0027864,2.5739e-28,1.1149e-08,0.02973,3.174e-06
145,5.1948e-55,0.00026266,1.8463e-58,1.8306e-57,2.8826e-50,1.6954e-55,0.00019451,1.7695e-60,1.8463e-58,9.887e-51,5.3032e-13,8.8246e-11,1.2109e-11,1.7218e-06,1.7218e-06,0.00083118,9.044e-13,0.00035294,0.00010508,0.18387,6.093e-141,3.0774e-89,5.0984e-128,5.82e-59,0.00026266,4.3564e-53,8.3627e-50,0.0010949,3.5736e-40
146,6.0384e-41,0.0084323,8.393e-60,8.5593e-53,2.3499e-31,8.9806e-46,0.070199,8.9551e-59,9.3594e-58,1.368e-35,0.00033507,4.7998e-27,2.4049e-08,0.19518,0.39453,0.020943,2.0798e-34,0.00060403,0.16677,0.50121,1.629e-147,4.1747e-98,4.1196e-159,6.9063e-77,5.1081e-26,3.8627e-75,5.1891e-25,3.4065e-35,2.1468e-19
147,4.2419e-54,1.7141e-06,2.4125e-58,1.9459e-56,5.1417e-50,1.7001e-55,9.0618e-05,2.4125e-58,7.2798e-58,2.3328e-51,3.3685e-10,4.8974e-05,8.7358e-15,1.1953e-06,7.2561e-09,9.7036e-06,6.677e-05,5.2953e-10,3.4768e-06,0.0011511,6.0973e-146,1.0526e-146,5.2574e-113,9.4326e-64,4.9177e-06,1.0155e-52,1.0304e-40,1.8398e-07,5.9242e-26
148,3.8054e-19,6.0361e-07,4.9402e-21,4.4541e-25,9.1533e-20,5.2054e-22,2.646e-11,2.1513e-20,3.8099e-26,1.0339e-20,1.6627e-38,9.0171e-17,7.8775e-40,1.9595e-33,1.9874e-31,1.744e-29,3.0557e-06,5.6346e-28,9.9926e-25,9.9926e-25,2.6881e-121,6.9774e-110,9.4235e-89,3.0613e-51,1.3739e-06,2.3795e-17,8.9057e-12,4.1771e-05,1.5458e-18
149,5.295e-35,0.13763,2.4005e-37,7.1455e-36,3.8273e-34,3.6449e-36,0.10733,9.4058e-37,1.3969e-35,1.8558e-32,6.2277e-14,3.3272e-11,1.2121e-08,1.4322e-10,1.6562e-09,0.00084014,2.3238e-09,0.0027734,0.008288,0.0027734,3.2686e-228,5.2398e-188,1.3238e-221,2.46e-101,0.21877,1.0266e-34,1.9657e-28,0.054909,1.0266e-34
150,1.4236e-20,1.4412e-12,5.2272e-36,2.6034e-29,5.6148e-11,3.3994e-22,1.0316e-14,5.8524e-35,3.0768e-32,2.3103e-12,1.7125e-54,9.2405e-71,6.3987e-22,9.1704e-74,9.3664e-72,2.1055e-43,6.4252e-52,4.6912e-28,5.3931e-49,4.6512e-63,7.0974e-99,1.3791e-178,7.0974e-99,7.3799e-86,1.1741e-35,4.6454e-54,3.3994e-22,7.2137e-42,2.6159e-20
151,3.5087e-31,3.316e-06,6.4881e-38,1.0541e-38,2.0968e-26,1.2778e-32,2.2033e-08,9.5617e-37,1.0325e-40,4.0047e-30,4.9614e-122,5.3812e-20,1.18e-105,1.2291e-107,5.5547e-111,1.2291e-107,4.9561e-22,1.4152e-77,2.1608e-102,3.7776e-94,2.3959e-134,3.7776e-94,1.1736e-111,4.1461e-62,1.5109e-13,7.4259e-21,5.5164e-33,8.8302e-14,3.0666e-23
152,1.3873e-48,7.7336e-24,5.4266e-34,1.9867e-43,5.7279e-55,1.5321e-45,9.0174e-25,1.5623e-32,1.4825e-40,4.1935e-53,1.2124e-52,0.1575,2.8742e-47,2.2925e-41,5.4266e-34,1.2672e-36,0.11471,4.6709e-30,2.2829e-29,3.054e-36,1.2471e-150,1.4107e-129,2.9485e-102,2.9992e-62,1.5525e-14,1.5623e-32,1.0951e-28,3.7045e-10,5.015e-22
153,7.4292e-31,0.013712,1.8587e-38,4.0712e-32,4.2265e-24,1.9517e-32,0.0026307,4.1432e-38,9.9354e-34,4.568e-26,1.4392e-11,1.8356e-52,0.12126,5.9779e-14,2.0728e-28,2.7053e-05,2.2113e-35,0.04052,3.3046e-06,2.2762e-14,2.1682e-109,2.1477e-148,1.5998e-121,7.1837e-75,1.9727e-18,3.0268e-51,4.1454e-129,5.1801e-23,4.568e-26
154,9.551e-27,3.8911e-10,5.6775e-26,1.5646e-27,3.2863e-25,9.8683e-29,5.473e-09,5.6775e-26,5.8627e-30,7.8279e-25,0.0056679,7.3538e-11,6.5752e-07,0.29361,0.34262,6.6908e-10,0.0056679,7.3538e-11,1.5819e-06,1.5041e-08,3.6556e-42,3.6908e-78,7.3334e-38,1.1349e-45,9.5336e-16,5.0391e-36,2.8273e-22,1.53e-18,3.2118e-18
155,2.0785e-25,0.0027482,2.1201e-29,3.4924e-26,2.8677e-24,5.7105e-27,0.00040298,2.1201e-29,3.5877e-28,1.2038e-24,6.0269e-62,3.9032e-12,3.6898e-44,2.3505e-54,2.4086e-61,8.598e-54,2.9199e-07,1.1402e-44,2.9012e-47,1.0668e-45,5.41e-109,1.3361e-74,3.7409e-117,9.7133e-47,0.00040298,3.4924e-26,3.9032e-12,0.0036953,2.0785e-25
156,2.8575e-27,0.080018,3.7858e-34,6.0101e-33,1.4853e-26,2.3126e-28,0.066034,2.4047e-33,1.4897e-34,5.3762e-28,2.3771e-06,3.6702e-09,0.00023572,0.011621,0.001897,0.0071193,5.2566e-13,0.0091212,0.028964,0.00023572,6.3597e-88,1.197e-113,1.7036e-69,9.0275e-55,3.1578e-07,9.8923e-29,8.6782e-24,0.00023572,3.1326e-30
157,6.7375e-13,0.0066851,1.89e-17,3.211e-15,6.2641e-12,1.1928e-13,0.0023194,7.058e-17,1.89e-17,2.1362e-13,7.1868e-38,4.9485e-18,9.8397e-25,8.2361e-51,2.1412e-47,7.3488e-55,2.2215e-22,7.0819e-48,3.1515e-61,7.105e-63,5.9138e-146,1.5001e-91,1.2192e-137,7.3488e-55,3.1438e-11,1.3525e-16,6.4376e-47,1.8466e-11,1.2016e-08
