0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
139,0.11973,0.13969,0.14412,0.12417,0.10643,0.12639,0.13082,0.15299,0.15965,0.14634,0.2816,0.27716,0.25055,0.26608,0.27273,0.23503,0.15965,0.28381,0.43681,0.3082,0.46785,0.41685,0.38359,0.39246,0.08204,0.27273,0.59202,0.10643,0.0066519
140,0.1226,0.10337,0.13221,0.11058,0.15144,0.11779,0.1226,0.14663,0.09375,0.096154,0.22115,0.086538,0.17067,0.13702,0.13221,0.14183,0.18269,0.13702,0.17788,0.16827,0.21394,0.20673,0.28125,0.10337,0.084135,0.30048,0.70433,0.036058,0.019231
141,0.1834,0.083012,0.19691,0.19691,0.18726,0.18919,0.16216,0.21429,0.19498,0.16023,0.079151,0.11583,0.07722,0.059846,0.098456,0.057915,0.12548,0.16988,0.28958,0.26834,0.34363,0.26062,0.50579,0.20656,0.10811,0.31274,0.38803,0.14093,0.032819
142,0.32658,0.088608,0.27342,0.30886,0.31646,0.28861,0.12911,0.24051,0.30127,0.3038,0.38228,0.20506,0.23544,0.30127,0.36203,0.28354,0.27848,0.30886,0.40759,0.36203,0.19241,0.12658,0.18481,0.11139,0.1443,0.3519,0.78734,0.086076,0.16962
143,0.20482,0.2008,0.21687,0.2008,0.19679,0.21285,0.10442,0.17269,0.19679,0.20884,0.39759,0.249,0.41365,0.37349,0.38554,0.42169,0.22088,0.4498,0.37349,0.40964,0.15261,0.10843,0.24498,0.16064,0.048193,0.28916,0.73896,0.068273,0.092369
145,0.18293,0.17317,0.16098,0.13171,0.16585,0.16585,0.11951,0.17317,0.13902,0.13171,0.090244,0.082927,0.078049,0.1,0.092683,0.13171,0.25122,0.16341,0.23171,0.21707,0.24878,0.35122,0.36829,0.32927,0.080488,0.21707,0.86098,0.05122,0.33415
146,0.16751,0.06599,0.21827,0.20051,0.18274,0.19797,0.11929,0.21827,0.19797,0.14721,0.22081,0.21574,0.18528,0.16244,0.17005,0.35279,0.25381,0.34772,0.36548,0.40609,0.26904,0.50761,0.36041,0.37817,0.38325,0.5533,0.89086,0.43909,0.07868
147,0.1693,0.39278,0.16027,0.1219,0.11061,0.17381,0.33183,0.20316,0.15801,0.13093,0.34763,0.24153,0.38375,0.29345,0.30248,0.35666,0.25056,0.45372,0.35892,0.37923,0.5553,0.19639,0.4763,0.2167,0.13544,0.28668,0.88036,0.35214,0.14898
148,0.14773,0.1108,0.14773,0.17614,0.16477,0.13636,0.12784,0.14205,0.15341,0.096591,0.32102,0.38352,0.46307,0.21875,0.32102,0.22727,0.16193,0.31534,0.34943,0.35795,0.17898,0.38352,0.18466,0.16477,0.15341,0.23295,0.75284,0.16761,0.051136
149,0.2101,0.19372,0.17872,0.1487,0.23602,0.20191,0.17599,0.17599,0.15143,0.20464,0.18827,0.16508,0.16098,0.2633,0.1869,0.061392,0.17326,0.16508,0.19509,0.18008,0.25239,0.14598,0.14598,0.15007,0.27694,0.3015,0.95225,0.19372,0.061392
