0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
139,0.40576,0.10421,0.4102,0.40798,0.38359,0.41463,0.099778,0.4102,0.41463,0.39468,0.67627,0.20177,0.63858,0.64302,0.59202,0.60754,0.13747,0.57428,0.57428,0.56984,0.99778,0.71175,0.99778,0.56319,0.37251,0.47007,0.32151,0.38137,0.35477
140,0.5,0.091346,0.51923,0.51683,0.48558,0.49038,0.091346,0.50721,0.51683,0.46635,0.48798,0.23798,0.51683,0.40625,0.33654,0.42308,0.23317,0.45192,0.38221,0.34856,0.93029,0.85817,0.89183,0.59615,0.35817,0.61298,0.33173,0.39423,0.34135
141,0.43629,0.19305,0.49421,0.44788,0.39382,0.45753,0.18147,0.49614,0.46139,0.41506,0.20656,0.25483,0.15251,0.16216,0.17761,0.22201,0.23552,0.16023,0.16602,0.19691,0.41699,0.8166,0.58301,0.60425,0.28378,0.51544,0.62741,0.33398,0.38803
142,0.46582,0.25316,0.53418,0.5038,0.46835,0.47342,0.23544,0.52911,0.52152,0.47342,0.38481,0.096203,0.32658,0.30633,0.33165,0.29114,0.12405,0.31139,0.25063,0.24051,0.78987,0.74177,0.73165,0.56962,0.27595,0.47089,0.35949,0.22785,0.41772
143,0.48594,0.072289,0.51807,0.50602,0.43775,0.49398,0.076305,0.52209,0.51807,0.4498,0.42169,0.18876,0.41365,0.36145,0.37349,0.35341,0.14458,0.34137,0.30522,0.33333,0.56225,0.78313,0.62651,0.55823,0.16064,0.50201,0.27309,0.12851,0.22892
145,0.54878,0.14634,0.56585,0.56098,0.52439,0.55122,0.14878,0.57561,0.56585,0.52683,0.26341,0.23902,0.24878,0.18293,0.18293,0.13659,0.26098,0.1439,0.15366,0.07561,0.88049,0.7,0.83902,0.56829,0.14634,0.53902,0.52195,0.13415,0.46829
146,0.48223,0.11675,0.58376,0.54822,0.42132,0.51015,0.091371,0.57868,0.5736,0.44924,0.14721,0.39086,0.2132,0.076142,0.063452,0.1066,0.44162,0.14213,0.07868,0.058376,0.91878,0.74873,0.95431,0.66244,0.38325,0.65482,0.37563,0.4467,0.32995
147,0.5237,0.17607,0.54402,0.53499,0.50339,0.53047,0.14898,0.54402,0.54176,0.51016,0.22348,0.1535,0.27088,0.17833,0.20767,0.16479,0.15124,0.22122,0.17156,0.12867,0.8623,0.86456,0.75847,0.56885,0.1693,0.51693,0.45372,0.18962,0.36117
148,0.34659,0.20455,0.36364,0.39773,0.35227,0.37216,0.2642,0.35795,0.40625,0.3608,0.49432,0.32386,0.50284,0.46023,0.44602,0.43182,0.19318,0.42045,0.39489,0.39489,0.88068,0.83807,0.75284,0.57102,0.19886,0.32955,0.26989,0.1733,0.34091
149,0.32742,0.060027,0.33834,0.33151,0.32333,0.33288,0.062756,0.33561,0.33015,0.31514,0.20464,0.18281,0.15962,0.17735,0.1678,0.10232,0.16644,0.094134,0.085948,0.094134,0.84038,0.76262,0.8281,0.55935,0.05457,0.32606,0.29468,0.069577,0.32606
