0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.13702,0.10334,0.12344,0.15158,0.14549,0.11139,0.084457,0.12337,0.12155,0.13637,0.20444,0.13916,0.29092,0.3737,0.39936,0.25056,0.11429,0.50075,0.58328,0.55071,0.13457,0.18322,0.12476,0.13543,0.089116,0.11534,0.47101,0.1274,7.7234e-05
2,0.14518,0.16978,0.17046,0.15628,0.13933,0.13089,0.25332,0.19022,0.17218,0.15006,0.075784,0.15906,0.14832,0.23312,0.24242,0.080736,0.12886,0.39182,0.46422,0.39269,0.11774,0.18938,0.20522,0.17038,0.13708,0.14652,0.18873,0.15754,0
3,0.076712,0.049622,0.10785,0.080075,0.064463,0.070723,0.063979,0.10144,0.073277,0.06582,0.16272,0.070877,0.18886,0.2366,0.2351,0.13627,0.044692,0.4674,0.51068,0.40617,0.091761,0.093495,0.16963,0.12469,0.073885,0.2247,0.18285,0.033385,0.0016182
4,0.09349,0.15355,0.088466,0.097047,0.11397,0.082825,0.10198,0.068313,0.083376,0.085316,0.065027,0.091912,0.15549,0.19548,0.18173,0.1055,0.12481,0.43139,0.45762,0.37618,0.13847,0.11213,0.083487,0.16243,0.080003,0.2098,0.19079,0.057729,0.0039282
5,0.1467,0.12677,0.11778,0.13208,0.17087,0.13728,0.13841,0.1172,0.15798,0.13136,0.1327,0.15702,0.20549,0.28053,0.32235,0.16628,0.099155,0.47515,0.57257,0.44755,0.12531,0.1761,0.14079,0.15775,0.086663,0.1397,0.6731,0.15989,0.027557
6,0.1315,0.14723,0.11549,0.15125,0.12268,0.13589,0.13066,0.10826,0.12481,0.15141,0.26941,0.225,0.29219,0.35298,0.39562,0.33907,0.1543,0.50485,0.60597,0.48405,0.14627,0.16969,0.20621,0.15788,0.13118,0.31875,0.32409,0.16787,8.4347e-06
7,0.0769,0.090297,0.07161,0.08902,0.075278,0.072232,0.078308,0.07087,0.094218,0.11707,0.099417,0.18666,0.15599,0.28016,0.25164,0.072612,0.091378,0.34915,0.4531,0.3576,0.17662,0.2063,0.17987,0.14794,0.11901,0.045006,0.19637,0.099621,0.0010444
8,0.094011,0.12861,0.16391,0.16571,0.13905,0.10873,0.12717,0.17037,0.1482,0.14415,0.2729,0.20526,0.30032,0.38515,0.41213,0.33285,0.18628,0.49421,0.58082,0.55781,0.18556,0.3324,0.17015,0.2057,0.17558,0.12508,0.27912,0.073134,0.0013176
9,0.18245,0.14576,0.13656,0.1713,0.16326,0.1698,0.15489,0.16009,0.20949,0.14841,0.13591,0.17802,0.20648,0.22767,0.25162,0.16183,0.1126,0.4477,0.5594,0.41869,0.13507,0.10202,0.20357,0.11261,0.15051,0.069224,0.3623,0.18246,1.8291e-05
10,0.11471,0.099086,0.15071,0.14906,0.1089,0.1254,0.10049,0.099779,0.1249,0.11805,0.12995,0.097746,0.15579,0.17062,0.16011,0.12998,0.12582,0.36316,0.51907,0.39775,0.084923,0.13024,0.12721,0.12366,0.10999,0.16283,0.21773,0.068966,0.0045125
11,0.12852,0.097456,0.12062,0.11649,0.093905,0.14204,0.17206,0.13092,0.13362,0.13069,0.25003,0.20758,0.21051,0.35976,0.36888,0.24321,0.16318,0.45006,0.52488,0.44895,0.30793,0.41729,0.24341,0.47872,0.1113,0.16579,0.15609,0.088698,0.013452
12,0.095722,0.08484,0.11645,0.098891,0.10181,0.088213,0.075572,0.089894,0.11671,0.10706,0.096747,0.12248,0.16944,0.19813,0.19409,0.070939,0.12114,0.38845,0.43703,0.33351,0.073712,0.10305,0.096099,0.13524,0.091545,0.1002,0.21771,0.11522,0.00016784
13,0.092618,0.096804,0.12795,0.11575,0.078158,0.081175,0.0705,0.10034,0.10057,0.086677,0.092039,0.13103,0.16777,0.29596,0.20101,0.080012,0.11484,0.41593,0.47471,0.42858,0.13908,0.35384,0.13531,0.33572,0.10704,0.21618,0.1968,0.078199,0.002306
14,0.068039,0.20376,0.058499,0.067165,0.084799,0.079929,0.2231,0.069698,0.058304,0.093484,0.066695,0.064793,0.11215,0.16836,0.22442,0.079781,0.078285,0.364,0.47114,0.36314,0.092921,0.13317,0.091974,0.12375,0.11076,0.21571,0.078862,0.094673,0.0056192
15,0.12122,0.06596,0.14979,0.12259,0.13213,0.1347,0.09009,0.11856,0.1377,0.10625,0.12897,0.25786,0.20316,0.26568,0.28251,0.13543,0.16996,0.452,0.54032,0.48924,0.09657,0.22045,0.17119,0.14542,0.092635,0.13154,0.17171,0.07042,0.0034052
16,0.12256,0.093092,0.11044,0.13332,0.14502,0.12774,0.066727,0.11781,0.14705,0.15045,0.11006,0.12093,0.15682,0.22368,0.25081,0.12346,0.1162,0.42224,0.52677,0.44668,0.085343,0.099871,0.12658,0.12024,0.061776,0.096545,0.31465,0.07235,0.02657
17,0.11741,0.096097,0.1111,0.11363,0.11781,0.11675,0.13281,0.12717,0.12931,0.10276,0.091157,0.13047,0.16358,0.19842,0.21076,0.099737,0.086633,0.25831,0.39598,0.27924,0.10616,0.1184,0.19268,0.20977,0.13444,0.088014,0.31151,0.074535,5.1308e-05
18,0.080357,0.071979,0.085449,0.08477,0.077466,0.092952,0.071498,0.088924,0.06656,0.077324,0.11652,0.0684,0.13887,0.20726,0.26705,0.21431,0.067396,0.46807,0.52819,0.47475,0.10638,0.068285,0.12707,0.12749,0.063837,0.096492,0.14971,0.10329,0.0060722
19,0.073513,0.10628,0.10072,0.079913,0.079805,0.066782,0.094651,0.097444,0.075347,0.087437,0.14203,0.1125,0.16592,0.18836,0.1872,0.15799,0.11026,0.41332,0.49417,0.37645,0.21601,0.13219,0.12534,0.13251,0.079533,0.09799,0.36677,0.098333,0.0090666
20,0.06406,0.064783,0.082667,0.070584,0.06995,0.081602,0.082085,0.089398,0.087998,0.074261,0.062791,0.10504,0.10795,0.18012,0.159,0.13593,0.072741,0.3798,0.49894,0.36645,0.091666,0.055515,0.10281,0.10668,0.085955,0.12865,0.3146,0.051073,0.0001028
21,0.084791,0.077929,0.094727,0.095816,0.093494,0.1189,0.093561,0.083927,0.12432,0.11147,0.081953,0.090793,0.12862,0.15011,0.16271,0.081707,0.081446,0.40651,0.48964,0.40574,0.11864,0.13986,0.11509,0.21375,0.10835,0.13387,0.13455,0.036649,0.0026517
22,0.11919,0.070853,0.1471,0.11899,0.097508,0.086774,0.077148,0.14193,0.11449,0.073711,0.11008,0.098137,0.14248,0.18288,0.21562,0.11532,0.11482,0.39998,0.49365,0.37872,0.14168,0.131,0.14722,0.078865,0.11145,0.21337,0.23408,0.096668,0.0018965
23,0.11673,0.10429,0.13876,0.092483,0.10284,0.089848,0.094238,0.09775,0.12845,0.092529,0.19162,0.14967,0.18772,0.27872,0.3027,0.18894,0.10364,0.48576,0.54033,0.48711,0.18322,0.05736,0.22601,0.0905,0.13013,0.20251,0.10743,0.064292,0.0054206
24,0.076525,0.15372,0.081272,0.10939,0.1102,0.079113,0.13324,0.079608,0.082037,0.1336,0.053011,0.09563,0.14082,0.19556,0.1996,0.083567,0.071926,0.41716,0.51963,0.38734,0.10293,0.090475,0.078098,0.11904,0.080436,0.052127,0.24706,0.058543,0.0026577
25,0.1482,0.17726,0.11015,0.1018,0.15463,0.14594,0.16329,0.11173,0.13135,0.14989,0.19044,0.11228,0.20423,0.3771,0.41225,0.16426,0.14293,0.51233,0.57437,0.50979,0.12779,0.11618,0.082222,0.19159,0.093176,0.06063,0.18214,0.083091,0.001899
26,0.088711,0.11477,0.086591,0.12062,0.093178,0.092,0.14085,0.063482,0.11073,0.099502,0.11435,0.12163,0.1607,0.18506,0.16443,0.085862,0.084022,0.38556,0.44503,0.31871,0.13906,0.1828,0.14136,0.12175,0.098435,0.077125,0.21376,0.046857,0.0017312
27,0.055123,0.054319,0.060402,0.056425,0.058063,0.058615,0.066789,0.065981,0.061371,0.05428,0.050818,0.062762,0.14093,0.18262,0.1944,0.048902,0.064777,0.30929,0.45042,0.32635,0.12415,0.2303,0.16207,0.13284,0.11183,0.090173,0.42243,0.064872,0.00057128
28,0.10502,0.10022,0.1471,0.14564,0.13419,0.11187,0.084226,0.14877,0.1312,0.13656,0.1196,0.19965,0.21665,0.22727,0.32559,0.15094,0.1454,0.47748,0.55806,0.44638,0.18906,0.18611,0.14115,0.25346,0.15728,0.19144,0.24219,0.12445,0.00054812
30,0.16409,0.16271,0.12644,0.18136,0.20365,0.15037,0.1396,0.15621,0.19263,0.15043,0.27693,0.14441,0.27151,0.3411,0.28304,0.33037,0.17092,0.55973,0.56601,0.4977,0.21485,0.29191,0.25828,0.20195,0.22862,0.14835,0.30182,0.11666,0.0031597
31,0.064119,0.19063,0.075494,0.065002,0.048648,0.065538,0.16,0.077177,0.052893,0.049857,0.32467,0.11946,0.25709,0.3674,0.37641,0.29839,0.1282,0.43751,0.52382,0.44439,0.093329,0.04274,0.13901,0.12046,0.05467,0.06599,0.16109,0.039621,0.00041468
32,0.076501,0.15949,0.072516,0.078269,0.082841,0.059319,0.17827,0.071813,0.071794,0.061571,0.2168,0.16329,0.19068,0.31852,0.34207,0.14439,0.10362,0.49614,0.51659,0.42795,0.19366,0.10035,0.13483,0.11748,0.13335,0.068407,0.56343,0.084102,0.018023
33,0.13813,0.18836,0.15077,0.14771,0.21562,0.14068,0.19113,0.14341,0.16915,0.17645,0.10561,0.098104,0.13944,0.16964,0.2128,0.10135,0.12295,0.43649,0.53741,0.36202,0.10173,0.13948,0.19425,0.19383,0.091213,0.27582,0.16499,0.10637,0.019148
34,0.20294,0.24635,0.22612,0.1683,0.17135,0.18665,0.15787,0.17084,0.14148,0.14344,0.12212,0.15763,0.19261,0.20965,0.17596,0.19584,0.13736,0.49939,0.48278,0.45028,0.11709,0.13438,0.17105,0.23396,0.11195,0.33063,0.2911,0.11704,8.5767e-05
35,0.09546,0.096554,0.14009,0.14095,0.094774,0.13713,0.09855,0.15006,0.12474,0.13884,0.088434,0.15849,0.29425,0.33279,0.31051,0.11522,0.071616,0.52524,0.54884,0.48349,0.16773,0.27837,0.13354,0.14153,0.068346,0.31594,0.41375,0.12693,0.0053082
36,0.10773,0.076067,0.1238,0.12434,0.11319,0.1257,0.081203,0.12052,0.14684,0.12014,0.18797,0.25295,0.22018,0.23429,0.35383,0.1664,0.11038,0.41325,0.50813,0.43147,0.096932,0.23789,0.095309,0.077621,0.097858,0.21724,0.22953,0.12866,0.00030868
37,0.17992,0.062315,0.14174,0.14964,0.15719,0.15144,0.079065,0.13393,0.17452,0.16815,0.099029,0.088249,0.17013,0.24275,0.2386,0.21715,0.13672,0.43212,0.52838,0.48963,0.14061,0.082107,0.10139,0.17476,0.1291,0.079444,0.18008,0.056903,0.00021787
38,0.060453,0.051392,0.099785,0.092938,0.11668,0.091302,0.067264,0.11476,0.09759,0.091393,0.072051,0.16225,0.13786,0.21245,0.23785,0.096463,0.14673,0.37218,0.48154,0.36755,0.14091,0.10702,0.16453,0.16086,0.068395,0.37567,0.19178,0.14595,0.0066322
39,0.13614,0.11396,0.12755,0.14623,0.14285,0.12522,0.14942,0.15121,0.14475,0.12462,0.11075,0.10628,0.15997,0.20645,0.20966,0.14251,0.090312,0.39901,0.47628,0.41616,0.14985,0.18473,0.10607,0.08918,0.10619,0.059768,0.63407,0.10793,0.062902
40,0.11739,0.078312,0.1166,0.12526,0.11093,0.13453,0.095731,0.12321,0.1342,0.10768,0.085511,0.16016,0.17014,0.21988,0.18656,0.044761,0.087381,0.36154,0.4373,0.29102,0.090935,0.18522,0.34598,0.11576,0.098309,0.21985,0.27363,0.15085,0.0018936
41,0.082955,0.11266,0.073914,0.07605,0.10602,0.082363,0.069352,0.076063,0.097276,0.087344,0.10964,0.085065,0.16352,0.16477,0.21207,0.083274,0.06896,0.36944,0.42968,0.31169,0.1035,0.23962,0.15129,0.23135,0.11412,0.14787,0.35694,0.081283,0.0012381
42,0.17767,0.08409,0.19496,0.21765,0.1244,0.17952,0.11145,0.20935,0.18789,0.15748,0.1896,0.28177,0.34154,0.35832,0.36909,0.15948,0.097706,0.4895,0.58891,0.51741,0.19149,0.24987,0.16483,0.16297,0.15656,0.24382,0.17769,0.098972,0.0023805
43,0.068375,0.083106,0.069369,0.057937,0.068501,0.063682,0.10688,0.093811,0.076072,0.058262,0.26809,0.18897,0.22172,0.34727,0.33042,0.21935,0.12904,0.47158,0.57352,0.48989,0.15113,0.13343,0.15958,0.21038,0.10093,0.05764,0.081522,0.065157,0.0033335
44,0.1971,0.25473,0.22432,0.27957,0.2324,0.22213,0.20222,0.20698,0.23091,0.21238,0.25767,0.1931,0.29978,0.30215,0.30095,0.2513,0.16365,0.53047,0.53074,0.52319,0.2872,0.2239,0.15887,0.2875,0.21263,0.19847,0.3437,0.17021,0
45,0.099426,0.2264,0.076256,0.090908,0.13932,0.10717,0.26537,0.10462,0.11261,0.15671,0.16862,0.091643,0.18584,0.2314,0.24674,0.12966,0.074309,0.44588,0.51683,0.42445,0.13821,0.11441,0.16915,0.085215,0.1103,0.27286,0.45595,0.097827,0.0025722
46,0.082088,0.080698,0.078708,0.09054,0.078724,0.073471,0.086887,0.061641,0.063897,0.079381,0.088792,0.12128,0.15553,0.3626,0.34539,0.10932,0.10773,0.43209,0.56376,0.50429,0.071184,0.095198,0.13172,0.18639,0.087534,0.15362,0.55459,0.062604,0.0015544
47,0.16378,0.093166,0.1674,0.14425,0.12553,0.15068,0.12291,0.15271,0.14179,0.15293,0.15299,0.25531,0.21458,0.28988,0.29926,0.16884,0.094639,0.43795,0.54935,0.48142,0.14988,0.10612,0.13316,0.1755,0.16076,0.10817,0.30066,0.12395,0.0019088
48,0.10265,0.069908,0.096522,0.10436,0.092978,0.10521,0.070981,0.10754,0.10679,0.1147,0.13752,0.0982,0.14107,0.19221,0.25173,0.099075,0.077207,0.4283,0.4636,0.37861,0.14875,0.14088,0.16546,0.12342,0.091999,0.16757,0.41751,0.077907,0.0042273
49,0.08729,0.10392,0.099046,0.074716,0.10374,0.11365,0.094212,0.091573,0.090364,0.079182,0.44331,0.19011,0.48341,0.51589,0.47534,0.2621,0.11819,0.53394,0.60981,0.55339,0.11983,0.1044,0.076004,0.10323,0.054839,0.31352,0.27935,0.064112,0.0011295
50,0.069808,0.11141,0.076792,0.087609,0.074422,0.099548,0.09845,0.070931,0.062463,0.069398,0.15026,0.08391,0.2443,0.29,0.27086,0.10575,0.094495,0.48473,0.53374,0.38765,0.17711,0.1286,0.14477,0.10237,0.10696,0.084302,0.14091,0.060034,0.00066621
51,0.14229,0.12742,0.15063,0.14921,0.12633,0.1495,0.13675,0.13983,0.16229,0.14171,0.14936,0.1505,0.29057,0.33425,0.31421,0.18439,0.10556,0.53341,0.57172,0.50195,0.11351,0.2606,0.16628,0.17104,0.15067,0.12746,0.17447,0.096612,0.0072311
52,0.071606,0.066241,0.11268,0.098784,0.068871,0.083713,0.066158,0.10661,0.088423,0.075413,0.054566,0.13211,0.22276,0.27077,0.26566,0.086191,0.069187,0.44862,0.52782,0.47366,0.2636,0.1717,0.29423,0.15982,0.040901,0.16389,0.2281,0.059692,0.010419
53,0.21904,0.24772,0.2607,0.20032,0.19292,0.21156,0.33971,0.25587,0.22631,0.2261,0.17205,0.23465,0.23005,0.24386,0.32415,0.13692,0.28164,0.44608,0.50235,0.39544,0.45571,0.21243,0.51771,0.28206,0.36006,0.27943,0,0.336,0
54,0.1058,0.073179,0.10445,0.14783,0.10123,0.09869,0.070633,0.1087,0.13566,0.13148,0.1431,0.070872,0.19189,0.24997,0.25185,0.12979,0.083969,0.41046,0.52688,0.45388,0.098418,0.13854,0.10196,0.11908,0.083702,0.097665,0.20465,0.097757,0.015149
55,0.10467,0.073412,0.10315,0.14437,0.096234,0.081876,0.12862,0.099452,0.10886,0.092463,0.14177,0.16262,0.13802,0.30657,0.26095,0.14861,0.12072,0.44831,0.53873,0.48138,0.10699,0.12385,0.13748,0.17551,0.076663,0.067255,0.25554,0.07349,0.0046598
56,0.10534,0.050789,0.082829,0.11619,0.074763,0.10184,0.05462,0.096928,0.10684,0.073598,0.084771,0.10905,0.14236,0.1867,0.20418,0.097829,0.069741,0.41789,0.50333,0.397,0.10208,0.20178,0.13254,0.16419,0.070913,0.11819,0.26221,0.052233,0.00056682
57,0.1297,0.10764,0.15124,0.15424,0.15722,0.10785,0.10419,0.15332,0.14128,0.15302,0.22499,0.21483,0.23644,0.34808,0.30705,0.24024,0.099153,0.42067,0.49868,0.45965,0.22777,0.25627,0.17129,0.10814,0.10146,0.074136,0.31036,0.093872,0.0060134
58,0.11432,0.031937,0.13486,0.14543,0.092431,0.099215,0.079633,0.14828,0.12653,0.09785,0.073055,0.083605,0.15477,0.28571,0.2714,0.10245,0.081244,0.41161,0.51231,0.46319,0.061642,0.11781,0.12175,0.15108,0.05403,0.13265,0.26314,0.070637,0.0061387
59,0.21605,0.073258,0.23581,0.21602,0.15691,0.16764,0.12812,0.25451,0.22603,0.15016,0.1387,0.10194,0.17731,0.21157,0.2681,0.15039,0.11142,0.4275,0.45355,0.4184,0.1103,0.10761,0.14313,0.095812,0.10553,0.088255,0.18446,0.13135,0.00039477
60,0.16859,0.060824,0.12801,0.12025,0.098495,0.12181,0.077882,0.062989,0.1027,0.07986,0.077236,0.12597,0.12545,0.17976,0.18466,0.088122,0.097211,0.39615,0.47957,0.40425,0.058681,0.16044,0.087755,0.16281,0.058989,0.086864,0.24166,0.051741,0.0050364
61,0.071268,0.048705,0.081956,0.072175,0.070971,0.080791,0.049329,0.089675,0.081011,0.052325,0.18739,0.056398,0.25339,0.3223,0.29918,0.12003,0.06716,0.46229,0.56503,0.50028,0.076786,0.27804,0.18446,0.41844,0.16076,0.13521,0.24274,0.060942,0.055032
62,0.10795,0.08746,0.088829,0.12954,0.093154,0.1121,0.10961,0.070936,0.10046,0.10855,0.20229,0.088635,0.25012,0.33857,0.33974,0.21251,0.12094,0.42411,0.52551,0.49358,0.098363,0.15423,0.14036,0.137,0.17327,0.15389,0.29666,0.20757,0.00066912
63,0.090229,0.057548,0.11726,0.13126,0.086248,0.07323,0.064731,0.12424,0.12374,0.089552,0.18148,0.19071,0.25726,0.27432,0.23511,0.172,0.1683,0.46718,0.48975,0.44914,0.16998,0.18711,0.1261,0.21495,0.092553,0.22163,0.21066,0.051492,0.00046192
64,0.13942,0.1988,0.14534,0.15318,0.11859,0.14918,0.17096,0.11487,0.14155,0.14031,0.28438,0.14124,0.27911,0.3059,0.32568,0.20094,0.11311,0.41201,0.54478,0.40991,0.16817,0.13704,0.19203,0.19832,0.096126,0.15547,0.24708,0.11643,0.00044347
65,0.21362,0.2355,0.1576,0.20896,0.2041,0.17521,0.24663,0.18114,0.20174,0.22272,0.11777,0.10445,0.18495,0.19635,0.19893,0.11915,0.099509,0.40366,0.50979,0.42212,0.24571,0.36874,0.20708,0.24941,0.16409,0.13212,0.53669,0.11149,0.022262
66,0.1332,0.13454,0.12836,0.14186,0.13031,0.12715,0.14661,0.11655,0.14844,0.13776,0.12398,0.12635,0.2048,0.22562,0.21866,0.14444,0.13434,0.47499,0.49385,0.43313,0.15522,0.23145,0.1438,0.12953,0.14278,0.17707,0.17869,0.10637,3.0745e-05
68,0.10343,0.054492,0.11871,0.14961,0.097173,0.1476,0.092065,0.14416,0.16882,0.12436,0.13456,0.19479,0.19513,0.33441,0.33815,0.13536,0.088904,0.44719,0.56293,0.41165,0.10521,0.077771,0.17009,0.10694,0.093788,0.22051,0.19684,0.11523,0.00053601
