0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.2361,0.16379,0.24111,0.24842,0.2401,0.24557,0.17436,0.23928,0.25165,0.23677,0.20542,0.085466,0.16178,0.17163,0.19911,0.16993,0.081573,0.11333,0.12819,0.15292,0.12008,0.11045,0.18799,0.16523,0.26306,0.13372,0.16812,0.22806,0.10832
2,0.22883,0.092342,0.23649,0.23315,0.22599,0.23309,0.10029,0.22443,0.22856,0.22953,0.22013,0.15499,0.23814,0.22012,0.20674,0.18975,0.12897,0.12923,0.15593,0.15313,0.14278,0.16893,0.20406,0.16978,0.19392,0.11182,0.13613,0.16345,0.11323
3,0.17566,0.10293,0.14025,0.16439,0.19221,0.16031,0.10005,0.12603,0.17271,0.18208,0.090928,0.13497,0.11074,0.069577,0.069154,0.058029,0.11409,0.074267,0.042347,0.058785,0.099497,0.11876,0.13737,0.10912,0.0896,0.17275,0.062083,0.074576,0.085849
4,0.26953,0.087797,0.23566,0.26478,0.26594,0.26927,0.098676,0.24117,0.27674,0.27347,0.12206,0.14033,0.13746,0.087004,0.071557,0.10236,0.11385,0.10631,0.088837,0.10514,0.14526,0.11722,0.14051,0.083865,0.092646,0.1826,0.057386,0.066331,0.11559
5,0.2823,0.13226,0.22179,0.26758,0.26344,0.26557,0.1182,0.22152,0.26731,0.27206,0.099107,0.10812,0.10714,0.11103,0.13111,0.11843,0.060257,0.076281,0.078614,0.12328,0.1199,0.24689,0.16527,0.2259,0.16726,0.15894,0.15197,0.12455,0.17156
6,0.38068,0.19821,0.33715,0.35667,0.34532,0.38816,0.14346,0.34122,0.37026,0.34803,0.51856,0.15379,0.4027,0.43477,0.47511,0.46684,0.12706,0.36642,0.41155,0.43096,0.43494,0.15657,0.36359,0.18803,0.18754,0.23098,0.19219,0.15355,0.15073
7,0.19265,0.10619,0.18346,0.18944,0.19316,0.2072,0.099733,0.17108,0.20059,0.19977,0.17358,0.08219,0.15996,0.14153,0.12176,0.096545,0.064414,0.088975,0.073061,0.069932,0.3286,0.16968,0.2071,0.10297,0.12416,0.19715,0.10408,0.10584,0.13456
8,0.16786,0.11519,0.14443,0.17714,0.17987,0.19569,0.10739,0.1649,0.17368,0.19848,0.26996,0.11283,0.20172,0.20065,0.22647,0.29436,0.12658,0.20819,0.23376,0.25318,0.19648,0.19609,0.15935,0.15869,0.13621,0.081021,0.060438,0.090544,0.065058
9,0.20442,0.095119,0.16176,0.19047,0.21256,0.19575,0.099366,0.14804,0.18059,0.20052,0.093542,0.15126,0.10601,0.073212,0.087537,0.073152,0.10284,0.068266,0.031131,0.083448,0.11974,0.091879,0.14921,0.11328,0.086238,0.11875,0.055359,0.068215,0.068436
10,0.19515,0.089642,0.16229,0.19186,0.19496,0.21216,0.097175,0.1713,0.19555,0.20215,0.18562,0.24344,0.12206,0.19497,0.24695,0.18582,0.1897,0.079572,0.13475,0.18996,0.11578,0.096388,0.17629,0.16977,0.12408,0.15374,0.084346,0.086997,0.074618
