0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.0057066,0.02612,4.6923e-05,0.051298,6.7554e-05,0.00052656,0.0057066,0.051298,0.032918,0.00027239,5.6601e-23,0.00027239,1.2599e-18,1.4402e-28,2.3213e-29,1.2361e-26,3.0651e-06,9.8726e-40,3.372e-40,8.3035e-39,0.032918,3.8934e-10,6.6094e-10,3.1127e-09,0.077937,6.4892e-20,2.37e-141,4.1463e-13,1
2,6.6121e-05,1.9354e-19,1.8457e-09,1.8457e-09,2.8492e-05,1.1878e-05,6.5876e-23,3.3028e-09,5.6233e-10,1.8699e-06,0.96415,0.00067793,0.74197,0.15159,0.037901,0.00032253,1.8699e-06,1.801e-08,1.3045e-11,1.7773e-12,5.3539e-08,7.5753e-06,0.00014847,4.7913e-06,4.7275e-11,1.0424e-18,6.0171e-102,8.9959e-13,1
3,1.7634e-09,0.058317,7.4037e-06,0.00024787,5.1722e-07,0.00090276,0.36841,2.5547e-07,2.0206e-06,7.3155e-07,6.8538e-30,2.6487e-09,2.2e-27,3.4747e-31,7.6377e-32,1.3221e-21,0.29062,1.2679e-28,4.4472e-38,2.8887e-23,5.0804e-10,8.3023e-14,2.1722e-10,8.0571e-16,7.3155e-07,7.0606e-22,1.8103e-62,0.4119,0.4119
4,0.0074638,6.3011e-07,0.17619,0.0095956,0.00032149,0.030903,0.0010938,0.047383,0.015587,0.047383,0.10392,0.070989,0.070989,0.12464,0.08614,0.0095956,0.058165,2.1049e-05,1.7633e-07,1.3876e-10,0.0019488,0.00032149,0.0033929,4.582e-09,0.070989,9.898e-14,7.3409e-86,0.0033929,0.12464
5,3.4371e-09,4.7535e-14,9.6737e-09,4.1717e-11,9.6737e-09,7.4156e-11,5.7179e-19,4.6232e-07,9.1069e-14,4.3403e-08,9.6737e-09,0.024275,1.1412e-07,2.0279e-09,9.1069e-14,3.148e-05,0.0086248,1.1412e-07,1.1884e-09,1.2935e-11,0.0065465,2.0279e-09,0.00028574,4.1538e-06,0.5039,2.0785e-25,3.4272e-122,3.7212e-23,1.1412e-07
6,0.051748,0.0015497,0.00025439,0.010365,0.051748,0.013828,2.2255e-05,0.0010974,0.010365,0.007706,1.5339e-27,1.3037e-10,5.5765e-25,1.6875e-19,7.2093e-29,5.089e-49,3.3283e-07,5.1373e-38,1.5519e-74,1.5134e-22,0.0056829,2.0035e-07,0.010365,0.007706,0.0021708,5.5241e-36,1.2124e-110,2.4302e-16,1
7,1.4582e-06,0.00053292,0.0089927,0.0002225,6.4836e-05,0.00093093,0.00016468,0.048407,0.00093093,1.747e-05,7.668e-09,1.1664e-18,0.0044126,2.7702e-08,5.4139e-14,1.2434e-05,1.3679e-12,2.898e-11,1.0082e-14,3.205e-19,1.5023e-21,7.4966e-35,8.636e-20,1.6678e-19,6.1292e-19,1.1664e-18,4.4459e-45,1.4568e-17,0.76917
8,0.47145,6.6402e-05,0.0013095,0.089323,0.29256,0.0087832,0.00065168,0.00031419,0.0018343,0.00065168,1.249e-36,3.5826e-11,4.5845e-14,3.2196e-33,9.8037e-41,3.603e-39,5.3243e-15,6.9354e-31,9.1459e-54,8.8889e-51,1.2668e-08,2.406e-31,0.0048074,1.2344e-10,1.7694e-07,3.5826e-11,2.3018e-76,0.0013095,0.89101
9,1.0642e-09,3.8032e-10,1.7729e-05,1.0642e-09,4.7652e-13,2.9066e-09,2.7484e-12,1.7729e-05,2.7484e-12,4.8696e-12,1.6589e-17,1.673e-06,2.3686e-19,8.2955e-18,2.2239e-24,2.6081e-20,0.00015109,2.7197e-21,1.865e-25,2.2239e-24,0.00040648,8.0881e-08,3.8032e-10,0.0024983,5.4745e-20,2.6119e-11,9.832e-127,9.7935e-25,1
10,0.047626,0.017648,2.5278e-06,0.0077632,0.059938,0.047626,0.0077632,0.0058185,3.2062e-05,0.00031269,0.00021787,0.24389,0.00010347,0.0058185,0.00063018,0.0077632,0.047626,2.5278e-06,0.0017069,0.0012335,2.4246e-09,0.00021787,9.3032e-06,0.24389,0.01352,4.1767e-09,2.8953e-55,0.017648,0.16952
