0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,6.8089e-38,4.8249e-24,5.4436e-37,2.8722e-39,1.9313e-37,9.8726e-40,7.0181e-26,2.3853e-38,9.8726e-40,2.3853e-38,6.0595e-19,0.13915,3.8934e-10,1.2125e-13,2.8958e-19,1.0903e-17,0.0074706,4.1463e-13,9.6095e-15,1.2125e-13,6.7554e-05,4.6923e-05,1.3256e-10,4.6923e-05,2.8722e-39,1.4177e-20,3.1127e-09,2.3892e-34,9.054e-25
2,8.3295e-26,1.1878e-05,1.5335e-27,1.149e-26,5.8422e-25,4.2151e-27,4.7913e-06,5.5336e-28,5.5336e-28,3.1065e-26,1.6535e-22,7.0606e-07,1.4555e-20,1.149e-26,1.4555e-20,2.914e-16,1.8473e-05,2.4936e-11,1.4555e-20,6.0732e-17,0.0027126,9.1174e-08,1.8699e-06,1.8473e-05,1.3358e-16,1.3358e-16,5.3539e-08,2.2482e-13,2.4885e-21
3,4.2907e-44,7.0606e-22,3.517e-33,6.5477e-40,3.8748e-50,2.7827e-40,1.05e-22,7.6377e-32,6.5477e-40,1.0509e-43,3.7843e-11,2.8887e-23,5.6516e-18,7.4037e-06,0.0011551,2.0206e-06,1.0844e-27,2.5547e-07,0.0023622,0.0088659,0.00042071,6.8538e-30,5.3835e-06,9.2522e-17,2.5547e-07,8.0699e-55,6.1963e-63,1.4118e-10,3.58e-26
4,4.1491e-52,4.85e-11,1.357e-49,1.2809e-52,3.6401e-54,4.2788e-51,1.1401e-07,4.0854e-48,4.2788e-51,1.2809e-52,2.9772e-14,7.0535e-16,1.1818e-20,3.8792e-10,1.4587e-05,4.7032e-15,1.803e-12,5.7456e-13,4.7032e-15,2.8426e-11,8.6152e-05,1.4309e-06,9.898e-14,0.0044382,6.1097e-05,1.0605e-45,5.1837e-17,0.0019488,5.0665e-29
5,1.1402e-44,5.4619e-18,2.1141e-36,3.7858e-43,1.1402e-44,1.1859e-43,4.1471e-16,7.2847e-37,3.78e-42,3.23e-46,9.5312e-06,0.0049352,0.0065465,6.748e-05,1.6064e-08,2.9199e-07,0.018934,0.00028574,4.6247e-05,4.3403e-08,3.148e-05,1.6587e-31,5.7859e-09,5.7179e-19,1.0064e-16,5.4802e-29,5.4619e-18,6.4895e-15,1.057e-39
6,1.0479e-46,3.743e-22,1.4322e-45,1.0479e-46,6.8087e-44,1.0479e-46,3.63e-13,2.8002e-47,1.0479e-46,1.4322e-45,1.0573e-82,4.1622e-08,3.3708e-58,1.4643e-69,1.8644e-77,5.7798e-71,2.5783e-09,2.1703e-51,3.5914e-68,7.2814e-69,5.4558e-35,1.4426e-09,4.6371e-18,3.7328e-11,1.119e-16,1.0466e-41,5.3809e-12,8.9798e-14,9.0156e-30
7,2.8986e-53,3.0637e-16,6.3837e-51,2.5452e-52,2.5452e-52,7.4867e-52,4.9993e-17,4.3766e-49,2.7746e-47,6.3837e-51,3.9241e-31,4.7057e-05,8.9938e-31,5.9375e-26,3.7431e-22,2.7819e-13,0.00016468,9.3881e-14,5.1481e-10,8.1745e-10,1.3231e-70,1.8547e-22,5.2211e-36,2.012e-10,2.7702e-08,3.807e-56,1.8547e-22,5.1481e-10,3.4567e-39
8,5.7971e-17,6.3113e-08,5.7575e-16,5.4349e-18,3.8563e-20,5.4349e-18,3.7248e-08,2.6998e-16,2.4302e-18,8.9733e-20,3.7948e-35,0.00014675,1.2292e-25,3.3678e-28,9.5794e-33,1.654e-44,2.3677e-09,9.5794e-33,3.603e-39,7.1803e-43,1.0073e-11,4.7444e-19,1.9044e-05,1.7694e-07,2.9108e-05,1.3324e-09,0.0013095,0.00031419,1.0073e-11
9,2.0662e-32,1.3266e-10,9.7935e-25,2.0662e-32,3.2964e-36,3.0886e-33,8.0881e-08,1.1262e-23,8.0128e-33,6.4181e-35,0.00436,3.2975e-17,0.0018741,0.25799,0.020041,0.00015109,1.2697e-07,2.5725e-05,0.012349,0.00076282,2.5725e-05,0.012349,3.7649e-06,5.3186e-05,0.00010733,1.1262e-23,5.3186e-05,0.0018741,6.4624e-15
10,1.2546e-27,9.3032e-06,8.472e-25,1.2546e-27,3.5451e-30,1.2546e-27,4.7728e-05,5.1036e-24,5.4248e-26,1.2546e-27,7.1438e-23,2.1795e-32,0.0023448,3.5451e-30,1.2866e-35,1.4217e-18,7.1438e-23,1.4155e-05,1.4217e-18,1.2993e-30,0.00063018,2.5278e-06,0.0023448,0.00015069,0.0023448,4.8043e-28,2.5598e-10,0.00021787,1.9714e-14
11,9.5961e-46,0.36937,1.8919e-42,2.5667e-44,1.0421e-46,8.6328e-45,0.10042,2.2295e-43,2.5667e-44,1.1054e-47,4.6718e-16,5.8931e-09,1.2621e-16,1.3077e-12,3.6545e-11,1.461e-07,7.0972e-12,8.2754e-10,5.2983e-07,0.004135,1.1082e-51,7.2301e-23,1.046e-52,4.6718e-16,0.00074214,5.4629e-42,4.397e-64,1.823e-06,1.8919e-42
12,2.4846e-14,7.5915e-05,6.843e-13,1.2526e-14,1.8565e-13,2.4846e-14,2.7907e-07,8.5229e-12,6.2694e-15,4.8927e-14,8.8034e-19,4.3534e-23,3.0142e-10,5.0632e-27,5.7951e-30,3.5772e-13,1.9187e-18,6.4319e-08,1.2526e-14,5.725e-22,0.0080786,0.00033298,0.030322,0.076669,0.030322,3.6593e-16,1.0567e-07,0.023614,8.2119e-09
13,2.2023e-40,1.7958e-18,7.5725e-38,8.1669e-41,1.4646e-42,2.2023e-40,1.6554e-16,1.9673e-37,1.576e-39,1.4646e-42,8.1134e-28,4.5353e-11,1.7231e-31,1.7835e-21,1.1759e-14,2.0591e-26,3.4265e-08,2.0199e-22,9.6694e-23,1.2886e-17,6.3708e-07,1.2886e-17,3.011e-06,5.2859e-08,3.7169e-05,5.9071e-40,4.5605e-26,8.1109e-08,1.0406e-24
14,4.5426e-53,1.7566e-05,1.3158e-56,7.9916e-55,1.2032e-49,9.0039e-52,0.0024015,2.8805e-55,6.0753e-54,3.1633e-49,9.605e-22,1.6647e-53,4.3494e-16,9.6426e-37,9.6426e-37,8.5744e-18,7.7987e-38,4.8129e-18,1.7035e-25,3.2205e-33,1.9085e-40,0.0011613,3.813e-43,0.072904,0.00031852,3.3408e-52,1.3775e-28,0.00054108,1.7194e-50
15,1.954e-40,1.1033e-07,6.2425e-42,6.2425e-42,1.5811e-45,1.9812e-41,1.1033e-07,6.2439e-41,6.2439e-41,1.8721e-43,4.7097e-46,0.0003088,6.3662e-33,3.6321e-31,1.954e-40,1.7448e-44,2.7586e-06,6.2439e-41,5.7354e-44,1.8739e-39,0.00061445,3.2828e-28,4.8898e-05,2.4963e-13,1.9329e-11,1.3355e-31,5.7779e-12,4.1287e-08,8.5333e-26
16,3.2867e-18,6.1501e-10,1.1058e-17,6.0424e-18,6.0424e-18,1.1058e-17,1.5761e-10,1.185e-16,1.185e-16,4.0755e-20,8.2791e-09,1.4616e-19,5.6052e-12,0.0041965,0.010449,0.00017547,1.4876e-11,0.00013075,0.00093155,0.074271,1.4647e-92,6.6907e-16,1.5805e-56,9.5925e-19,3.9244e-10,1.8274e-25,8.2791e-09,1.0933e-14,3.8768e-11
17,2.7258e-21,1.3342e-20,2.5116e-17,2.9223e-20,1.1317e-25,1.3342e-20,5.8638e-18,4.253e-16,6.3584e-20,1.9805e-23,1.2573e-14,0.020766,3.31e-15,1.4139e-08,6.158e-08,2.084e-10,0.0031317,2.084e-10,2.3245e-08,3.7961e-08,6.7926e-11,1.2573e-14,0.0012595,0.0031317,1.8075e-05,6.4725e-15,0.0023271,1.2152e-05,1.1938e-10
18,3.2374e-41,3.4097e-30,1.9115e-36,5.3802e-40,3.8906e-44,8.3008e-41,3.1831e-24,1.1161e-35,5.3802e-40,2.0305e-45,1.0312e-43,5.2958e-38,2.3996e-13,1.6742e-53,7.9405e-57,2.7693e-46,3.7505e-29,2.5091e-20,2.7205e-43,2.9093e-59,1.284e-05,5.1827e-15,4.5761e-06,1.6034e-07,4.0723e-13,1.9831e-33,3.4097e-30,5.905e-09,2.678e-35
19,2.762e-46,1.0099e-32,1.7268e-40,1.8463e-44,1.8498e-53,1.1333e-42,1.7668e-22,1.5706e-37,8.599e-42,3.7939e-48,3.6114e-05,3.6783e-22,1.0359e-12,0.10961,0.028064,0.00025431,2.2186e-17,5.4465e-09,0.014448,0.10961,6.1315e-06,0.011456,1.3483e-06,3.6114e-05,7.0713e-05,2.7453e-34,1.6829e-33,0.0025463,1.92e-30
20,8.722e-38,7.7782e-15,3.4975e-40,1.4124e-38,2.152e-37,4.3932e-35,2.936e-08,2.152e-37,1.4124e-38,1.8322e-35,6.6646e-08,6.1353e-47,0.00011535,1.4088e-15,5.7148e-25,1.4842e-07,2.152e-37,1.9349e-08,1.0121e-12,2.7103e-21,5.0576e-24,9.2888e-32,1.443e-19,1.3742e-21,2.4445e-16,1.0132e-67,5.3815e-09,3.483e-22,5.3198e-21
21,4.8654e-42,0.0069,1.0239e-45,2.5546e-44,1.1597e-37,1.3671e-41,5.9799e-05,8.7916e-45,2.5546e-44,1.0613e-40,2.4214e-12,6.2504e-34,2.2037e-06,7.1617e-15,4.0316e-19,5.9608e-16,5.98e-39,5.2686e-09,1.2456e-11,5.6553e-21,4.6572e-27,0.11373,4.5361e-17,4.7725e-06,7.2561e-12,2.1383e-36,1.236e-07,4.3934e-07,4.476e-13
22,1.0029e-49,2.3895e-25,3.5742e-46,1.0029e-49,1.2374e-50,3.5311e-50,5.5521e-27,9.7239e-46,7.974e-49,1.7789e-52,3.8182e-14,1.8117e-20,3.7098e-17,0.0011165,0.0011165,8.46e-11,1.6825e-18,4.0431e-16,2.3021e-05,0.00036856,6.3982e-08,1.2047e-11,7.2589e-16,0.00011271,3.7893e-23,2.7109e-33,1.5892e-12,1.2365e-16,1.1448e-28
23,6.2985e-45,0.027603,3.7879e-48,1.0106e-45,8.0825e-42,2.1958e-49,0.039737,1.2273e-50,4.6545e-51,1.5629e-44,6.272e-23,3.1166e-07,4.8638e-27,2.1571e-09,6.5297e-06,1.1794e-27,1.2545e-06,1.6429e-30,1.1127e-19,1.6492e-13,4.8471e-09,0.00050171,1.8108e-20,6.3413e-17,1.2545e-06,1.7222e-54,3.1809e-29,2.1571e-09,1.3836e-42
