0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.13354,0.11491,0.18012,0.10559,0.17702,0.15839,0.13354,0.10559,0.1118,0.1646,0.39752,0.1646,0.35714,0.4441,0.45031,0.42857,0.20186,0.52484,0.52795,0.51863,0.1118,0.26087,0.25776,0.24845,0.099379,0.36957,0.99379,0.29814,0.012422
2,0.20161,0.41532,0.28629,0.28629,0.20968,0.21774,0.45161,0.28226,0.29435,0.23387,0.044355,0.17742,0.060484,0.10081,0.125,0.18548,0.23387,0.27016,0.31855,0.33065,0.2621,0.22177,0.19355,0.22581,0.31048,0.40726,0.95968,0.33468,0
3,0.20118,0.08284,0.15582,0.13215,0.1716,0.12229,0.057199,0.17554,0.16371,0.16963,0.36292,0.19921,0.34714,0.37081,0.37475,0.30769,0.061144,0.35503,0.41026,0.31953,0.2071,0.24458,0.21105,0.26233,0.16963,0.30966,0.52663,0.055227,0.055227
4,0.12465,0.20397,0.082153,0.12181,0.15581,0.10765,0.14448,0.10198,0.11615,0.10198,0.090652,0.096317,0.096317,0.087819,0.093484,0.12181,0.09915,0.17847,0.21246,0.25496,0.13881,0.15581,0.13314,0.23513,0.096317,0.29178,0.73938,0.13314,0.087819
5,0.25667,0.32,0.25,0.28333,0.25,0.28,0.37333,0.22333,0.31667,0.24,0.25,0.12,0.23333,0.26,0.31667,0.19,0.13333,0.23333,0.26333,0.29,0.13667,0.26,0.17,0.20667,0.066667,0.43333,0.95667,0.41333,0.23333
6,0.11905,0.16667,0.18651,0.14286,0.11905,0.13889,0.21032,0.17063,0.14286,0.14683,0.49206,0.30159,0.46825,0.4127,0.50397,0.65873,0.24603,0.57937,0.81349,0.44444,0.15079,0.25,0.14286,0.14683,0.1627,0.56349,0.99206,0.37698,0.0039683
7,0.18269,0.13942,0.11298,0.14663,0.15625,0.13462,0.14904,0.09375,0.13462,0.16587,0.21394,0.3149,0.12019,0.20673,0.27163,0.16827,0.25721,0.24279,0.27885,0.31971,0.33894,0.43269,0.32452,0.32212,0.31731,0.3149,0.49279,0.30529,0.045673
8,0.073643,0.19767,0.16667,0.10853,0.085271,0.14341,0.17442,0.18217,0.16279,0.17442,0.56202,0.3062,0.34496,0.53488,0.59302,0.5814,0.35659,0.5155,0.68217,0.66279,0.26744,0.51938,0.15116,0.29845,0.24806,0.3062,0.81395,0.16667,0.050388
9,0.24926,0.25519,0.18398,0.24926,0.2908,0.24332,0.2819,0.18398,0.2819,0.27893,0.33828,0.20178,0.35608,0.34125,0.40059,0.36499,0.16617,0.37389,0.4095,0.40059,0.15727,0.22255,0.25519,0.13947,0.36202,0.27003,0.91988,0.40356,0.0059347
10,0.11429,0.12857,0.21786,0.13929,0.11071,0.11429,0.13929,0.14286,0.19643,0.175,0.17857,0.085714,0.18571,0.14286,0.16786,0.13929,0.11429,0.21786,0.15714,0.16071,0.26786,0.17857,0.20714,0.085714,0.13214,0.26429,0.66429,0.12857,0.092857
11,0.17479,0.28653,0.12894,0.17479,0.17765,0.21777,0.36963,0.13467,0.19198,0.24928,0.51003,0.41547,0.36676,0.63037,0.67335,0.48711,0.33238,0.5043,0.62464,0.5702,0.60172,0.74785,0.50143,0.7106,0.16619,0.32092,0.60745,0.15759,0.16332
12,0.095745,0.074468,0.10284,0.070922,0.053191,0.070922,0.095745,0.10284,0.095745,0.060284,0.14894,0.12057,0.15957,0.17376,0.2234,0.078014,0.092199,0.19858,0.21986,0.16667,0.085106,0.14184,0.15248,0.14894,0.08156,0.3227,0.76241,0.088652,0.01773
13,0.10444,0.18277,0.15927,0.13577,0.12272,0.096606,0.096606,0.1436,0.088773,0.10444,0.20366,0.18016,0.16971,0.25587,0.28982,0.11488,0.10705,0.17232,0.23499,0.25587,0.2846,0.61097,0.1906,0.60052,0.15144,0.29765,0.65796,0.12272,0.067885
14,0.15682,0.52546,0.063136,0.099796,0.21792,0.16904,0.53157,0.057026,0.07332,0.25458,0.11813,0.077393,0.1222,0.10387,0.12424,0.095723,0.099796,0.17719,0.15479,0.09776,0.16293,0.25255,0.19145,0.18737,0.25051,0.26069,0.79837,0.26884,0.10591
15,0.18213,0.072165,0.20962,0.19588,0.16838,0.18557,0.089347,0.20962,0.19931,0.15808,0.26117,0.22337,0.189,0.30928,0.38144,0.2543,0.189,0.37113,0.42955,0.34021,0.09622,0.37801,0.15464,0.23711,0.075601,0.38144,0.87629,0.13746,0.082474
16,0.18834,0.15247,0.23094,0.20628,0.17713,0.21076,0.078475,0.23991,0.213,0.17265,0.32287,0.23543,0.24888,0.37444,0.30493,0.30045,0.25561,0.32287,0.44619,0.39686,0.14798,0.1704,0.23991,0.16143,0.060538,0.20404,0.74664,0.19058,0.22646
17,0.1634,0.21895,0.16993,0.20261,0.19935,0.18627,0.19608,0.20261,0.15033,0.17647,0.10458,0.12418,0.078431,0.084967,0.16013,0.13072,0.11438,0.19608,0.16993,0.20588,0.14052,0.22222,0.18301,0.33007,0.11765,0.24183,0.86601,0.13725,0.0098039
18,0.13054,0.09324,0.18881,0.13753,0.13287,0.15618,0.079254,0.17016,0.15385,0.10956,0.35897,0.095571,0.24709,0.18648,0.29138,0.47552,0.15385,0.45688,0.5338,0.5338,0.17249,0.11888,0.16084,0.095571,0.04662,0.29138,0.81585,0.17016,0.10956
19,0.1911,0.24346,0.20942,0.17801,0.16754,0.17801,0.17801,0.18848,0.22251,0.17539,0.37958,0.12565,0.32199,0.29843,0.26702,0.31675,0.17277,0.31152,0.39005,0.24869,0.3089,0.32461,0.1466,0.29058,0.089005,0.30628,0.60995,0.20681,0.13351
20,0.15691,0.16628,0.13115,0.16393,0.15691,0.13349,0.13583,0.096019,0.14286,0.14052,0.091335,0.1452,0.1733,0.16393,0.074941,0.12881,0.077283,0.18267,0.22014,0.19204,0.098361,0.042155,0.18267,0.16159,0.13115,0.274,0.84309,0.11007,0.014052
