0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.51242,0.40683,0.50621,0.52174,0.50932,0.52484,0.42236,0.51553,0.52484,0.51553,0.36025,0.090062,0.26087,0.30435,0.36335,0.34783,0.13043,0.29814,0.31677,0.30435,0.17702,0.18012,0.26708,0.18012,0.52174,0.37578,0.24845,0.48758,0.41304
2,0.47984,0.21774,0.49597,0.4879,0.47177,0.49194,0.22581,0.5,0.5,0.48387,0.44758,0.24194,0.42742,0.4879,0.42742,0.37903,0.21371,0.31452,0.42742,0.3871,0.16129,0.25806,0.23387,0.21371,0.38306,0.38306,0.2621,0.34274,0.43548
3,0.44181,0.30966,0.38264,0.42012,0.4714,0.42209,0.31558,0.37475,0.42012,0.43984,0.21893,0.31953,0.28008,0.15582,0.12032,0.16371,0.34911,0.17554,0.1144,0.10256,0.12821,0.36292,0.15779,0.27022,0.17554,0.4931,0.5286,0.21302,0.33925
4,0.57507,0.26062,0.56091,0.5779,0.5864,0.56941,0.2153,0.55241,0.56941,0.5779,0.29745,0.31445,0.35977,0.24929,0.1813,0.30595,0.27762,0.28329,0.30595,0.26346,0.16714,0.1983,0.29178,0.13031,0.16997,0.53824,0.32578,0.13881,0.42776
5,0.57667,0.36333,0.52,0.56667,0.57667,0.57,0.34333,0.52333,0.56,0.58667,0.2,0.14,0.13667,0.18333,0.24667,0.22667,0.12333,0.17,0.18667,0.24,0.19,0.48333,0.25333,0.37333,0.35,0.46333,0.36333,0.33,0.54333
6,0.64286,0.44048,0.63492,0.64286,0.62302,0.64286,0.3373,0.64683,0.64286,0.63492,0.85714,0.2619,0.71825,0.78571,0.82937,0.79365,0.28175,0.6746,0.77778,0.78175,0.55556,0.28571,0.39683,0.30952,0.38095,0.60714,0.32143,0.34524,0.5119
7,0.53606,0.29327,0.52404,0.53125,0.53125,0.52885,0.30048,0.51442,0.50481,0.52404,0.40865,0.15865,0.40625,0.3726,0.34375,0.26442,0.14904,0.26923,0.22837,0.22596,0.61779,0.34615,0.4399,0.23317,0.20673,0.55048,0.34615,0.22837,0.45913
8,0.37984,0.25581,0.36822,0.39147,0.41473,0.39147,0.25969,0.37209,0.39535,0.41085,0.55039,0.18992,0.46899,0.49225,0.53101,0.62016,0.27907,0.53101,0.5814,0.60853,0.31395,0.4031,0.2093,0.24806,0.20543,0.28295,0.16667,0.18217,0.31395
9,0.46291,0.26113,0.40356,0.46291,0.48961,0.46884,0.22255,0.39466,0.46588,0.48071,0.13353,0.33531,0.14243,0.077151,0.11573,0.16617,0.21958,0.18101,0.12166,0.15134,0.18101,0.12166,0.19585,0.17507,0.16914,0.39466,0.17507,0.14243,0.31157
10,0.46786,0.20714,0.44286,0.46786,0.48929,0.46786,0.19286,0.43571,0.45357,0.46786,0.425,0.50714,0.15357,0.48929,0.53214,0.38214,0.425,0.20357,0.38214,0.49286,0.16786,0.21786,0.15357,0.18214,0.15357,0.47143,0.28214,0.17857,0.33571
